CCTV[青岛联通],#genre#
青岛QTV-5,http://192.168.123.1:4000/udp/239.253.254.253:8000
青岛QTV-6,http://192.168.123.1:4000/udp/239.253.254.254:8000
海洋频道HD,http://192.168.123.1:4000/rtp/239.253.254.67:8000
崂山HD,http://192.168.123.1:4000/rtp/239.253.254.242:8000
黄岛新闻,http://192.168.123.1:4000/udp/239.253.254.243:8000
黄岛生活,http://192.168.123.1:4000/udp/239.253.254.244:8000
胶州新闻,http://192.168.123.1:4000/udp/239.253.254.246:8000
即墨电视台,http://192.168.123.1:4000/udp/239.253.254.245:8000
平度综合,http://192.168.123.1:4000/udp/239.253.254.248:8000
莱西综合,http://192.168.123.1:4000/udp/239.253.254.247:8000
城阳电视台,http://192.168.123.1:4000/udp/239.253.254.239:8000
直播中国,http://gctxyc.liveplay.myqcloud.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
青岛五四广场,http://video11.qtv.com.cn/aqdafzx/manifest.m3u8
青岛奥帆中心,http://video11.qtv.com.cn/aqdwsgc/manifest.m3u8
青岛奥帆中心,http://video10.qtv.com.cn/aqdwsgc/manifest.m3u8
青岛太平角,http://video10.qtv.com.cn/aqdey/manifest.m3u8

山东[青岛联通],#genre#
山东卫视,http://192.168.123.1:4000/udp/239.253.254.78:8000
山东齐鲁,http://192.168.123.1:4000/udp/239.253.254.114:8000
山东新闻,http://192.168.123.1:4000/udp/239.253.254.23:8000
山东生活,http://192.168.123.1:4000/udp/239.253.254.151:8000
山东综艺,http://192.168.123.1:4000/udp/239.253.254.159:8000
山东文旅,http://192.168.123.1:4000/udp/239.253.254.160:8000
山东体育,http://192.168.123.1:4000/udp/239.253.254.22:8000
山东农科,http://192.168.123.1:4000/udp/239.253.254.24:8000
山东少儿,http://192.168.123.1:4000/udp/239.253.254.25:8000
山东教育,http://192.168.123.1:4000/udp/239.253.254.59:8000


专业[青岛联通],#genre#
精彩影视,http://192.168.123.1:4000/rtp/239.253.254.142:8000
都市剧场,http://192.168.123.1:4000/udp/239.253.254.98:8000
乐游,http://192.168.123.1:4000/udp/239.253.254.97:8000
生活时尚,http://192.168.123.1:4000/udp/239.253.254.99:8000
梨园频道,http://192.168.123.1:4000/rtp/239.253.254.139:8000
武术世界,http://192.168.123.1:4000/rtp/239.253.254.140:8000
文物宝库,http://192.168.123.1:4000/rtp/239.253.254.141:8000
茶频道,http://192.168.123.1:4000/rtp/239.253.254.143:8000
快乐垂钓,http://192.168.123.1:4000/rtp/239.253.254.144:8000
法治天地,http://192.168.123.1:4000/udp/239.253.254.96:8000
动漫秀场,http://192.168.123.1:4000/udp/239.253.254.115:8000
东方财经,http://192.168.123.1:4000/udp/239.253.254.94:8000
金色学堂,http://192.168.123.1:4000/udp/239.253.254.101:8000
游戏风云,http://192.168.123.1:4000/rtp/239.253.254.95:8000
魅力足球,http://192.168.123.1:4000/rtp/239.253.254.100:8000
靓状,http://192.168.123.1:4000/rtp/239.253.254.68:8000
四海钓鱼,http://192.168.123.1:4000/rtp/239.253.254.118:8000
网络棋牌,http://192.168.123.1:4000/rtp/239.253.254.119:8000
先锋乒羽,http://192.168.123.1:4000/rtp/239.253.254.145:8000
书画,http://192.168.123.1:4000/rtp/239.253.254.146:8000
财富天下,http://192.168.123.1:4000/rtp/239.253.254.147:8000
家庭理财,http://192.168.123.1:4000/rtp/239.253.254.148:8000
新动漫,http://192.168.123.1:4000/rtp/239.253.254.149:8000

都市剧场,http://192.168.123.1:4000/udp/239.253.254.178:8000

iptv3+,http://192.168.123.1:4000/udp/239.253.254.129:8000
iptv5+,http://192.168.123.1:4000/udp/239.253.254.109:8000#http://192.168.123.1:4000/udp/239.253.254.131:8000
iptv6+,http://192.168.123.1:4000/udp/239.253.254.128:8000
iptv8+,http://192.168.123.1:4000/udp/239.253.254.132:8000
IPTV经典电影,http://192.168.123.1:4000/udp/239.253.254.126:8000
IPTV热播剧场,http://192.168.123.1:4000/udp/239.253.254.125:8000
IPTV少儿动画,http://192.168.123.1:4000/udp/239.253.254.127:8000
IPTV魅力时尚,http://192.168.123.1:4000/udp/239.253.254.130:8000
IPTV收视指南,http://192.168.123.1:4000/udp/239.253.254.124:8000
IPTV谍战剧场,http://192.168.123.1:4000/udp/239.253.254.135:8000
IPTV相声小品,http://192.168.123.1:4000/udp/239.253.254.136:8000
IPTV野外,http://192.168.123.1:4000/udp/239.253.254.137:8000
IPTV法治,http://192.168.123.1:4000/udp/239.253.254.138:8000
音乐现场,http://192.168.123.1:4000/udp/239.253.254.202:8000

先锋乒羽,http://192.168.123.1:4000/udp/239.253.254.155:8000
财富天下,http://192.168.123.1:4000/udp/239.253.254.230:8000
金鹰卡通,http://192.168.123.1:4000/udp/239.253.254.62:8000
优漫卡通,http://192.168.123.1:4000/udp/239.253.254.64:8000
哈哈炫动,http://192.168.123.1:4000/udp/239.253.254.63:8000
嘉佳卡通,http://192.168.123.1:4000/udp/239.253.254.65:8000
爱上4k,http://192.168.123.1:4000/udp/239.253.254.102:8000
CCTV-4k,http://192.168.123.1:4000/udp/239.253.254.181:8000
CCTV-3,http://192.168.123.1:4000/udp/239.253.254.4:8000
CCTV-5,http://192.168.123.1:4000/udp/239.253.254.6:8000
CCTV-6,http://192.168.123.1:4000/udp/239.253.254.7:8000
CCTV-8,http://192.168.123.1:4000/udp/239.253.254.9:8000





CCTV[日照联通],#genre#
CCTV-1 综合,http://192.168.23.1:4000/udp/239.253.224.77:8000
CCTV-2 财经,http://192.168.23.1:4000/udp/239.253.224.232:8000
CCTV-3 综艺,http://192.168.23.1:4000/udp/239.253.224.191:8000
CCTV-4 亚洲,http://192.168.23.1:4000/udp/239.253.224.111:8000
CCTV-4 欧洲,http://192.168.23.1:4000/udp/239.253.224.186:8000
CCTV-4 美洲,http://192.168.23.1:4000/udp/239.253.224.187:8000
CCTV-5 体育,http://192.168.23.1:4000/udp/239.253.224.192:8000
CCTV-5+体育赛事,http://192.168.23.1:4000/udp/239.253.224.80:8000
CCTV-6 电影,http://192.168.23.1:4000/udp/239.253.224.193:8000
CHC家庭影院,http://192.168.23.1:4000/udp/239.253.224.152:8000
CHC动作电影,http://192.168.23.1:4000/udp/239.253.224.153:8000
CHC高清电影,http://192.168.23.1:4000/udp/239.253.224.154:8000
CCTV-7 国防军事,http://192.168.23.1:4000/udp/239.253.224.233:8000
CCTV-8 电视剧,http://192.168.23.1:4000/udp/239.253.224.194:8000
CCTV-9 纪录,http://192.168.23.1:4000/udp/239.253.224.79:8000
CCTV-10 科教,http://192.168.23.1:4000/udp/239.253.224.234:8000
CCTV-11 戏曲,http://192.168.23.1:4000/udp/239.253.224.169:8000
CCTV-12 社会与法,http://192.168.23.1:4000/udp/239.253.224.235:8000
CCTV-13 新闻,http://192.168.23.1:4000/udp/239.253.224.175:8000
CCTV-14 少儿,http://192.168.23.1:4000/udp/239.253.224.236:8000
CCTV-15 音乐,http://192.168.23.1:4000/udp/239.253.224.170:8000
CCTV-16 奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-17 农业农村,http://192.168.23.1:4000/udp/239.253.224.168:8000


卫视[日照联通],#genre#
山东卫视,http://192.168.23.1:4000/udp/239.253.224.78:8000
江苏卫视,http://192.168.23.1:4000/udp/239.253.224.83:8000
浙江卫视,http://192.168.23.1:4000/udp/239.253.224.84:8000
东方卫视,http://192.168.23.1:4000/udp/239.253.224.86:8000
北京卫视,http://192.168.23.1:4000/udp/239.253.224.85:8000
北京纪实科教,http://192.168.23.1:4000/udp/239.253.224.165:8000
安徽卫视,http://192.168.23.1:4000/udp/239.253.224.87:8000
湖南卫视,http://192.168.23.1:4000/udp/239.253.224.82:8000
金鹰纪实,http://192.168.23.1:4000/udp/239.253.224.103:8000
金鹰卡通,http://192.168.23.1:4000/udp/239.253.224.117:8000
湖北卫视,http://192.168.23.1:4000/udp/239.253.224.88:8000
天津卫视,http://192.168.23.1:4000/udp/239.253.224.89:8000
广东卫视,http://192.168.23.1:4000/udp/239.253.224.90:8000
深圳卫视,http://192.168.23.1:4000/udp/239.253.224.91:8000
黑龙江卫视,http://192.168.23.1:4000/udp/239.253.224.93:8000
辽宁卫视,http://192.168.23.1:4000/udp/239.253.224.92:8000
吉林卫视,http://192.168.23.1:4000/udp/239.253.224.173:8000
东南卫视,http://192.168.23.1:4000/udp/239.253.224.105:8000
河北卫视,http://192.168.23.1:4000/udp/239.253.224.112:8000
河南卫视,http://192.168.23.1:4000/udp/239.253.224.190:8000
梨园频道,http://192.168.23.1:4000/udp/239.253.224.139:8000
武术世界,http://192.168.23.1:4000/udp/239.253.224.140:8000
文物宝库,http://192.168.23.1:4000/udp/239.253.224.141:8000
云南卫视,http://192.168.23.1:4000/udp/239.253.224.196:8000
贵州卫视,http://192.168.23.1:4000/udp/239.253.224.113:8000
青海卫视,http://192.168.23.1:4000/udp/239.253.224.195:8000
重庆卫视,http://192.168.23.1:4000/udp/239.253.224.38:8000
重庆汽摩,http://192.168.23.1:4000/udp/239.253.224.161:8000
江西卫视,http://192.168.23.1:4000/udp/239.253.224.47:8000
广西卫视,http://192.168.23.1:4000/udp/239.253.224.197:8000
海南卫视,http://192.168.23.1:4000/udp/239.253.224.179:8000
四川卫视,http://192.168.23.1:4000/udp/239.253.224.180:8000
甘肃卫视,http://192.168.23.1:4000/udp/239.253.224.74:8000
中国交通,http://192.168.23.1:4000/udp/239.253.224.177:8000
CETV1,http://192.168.23.1:4000/udp/239.253.224.110:8000
CETV2,http://192.168.23.1:4000/udp/239.253.224.107:8000
CETV4,http://192.168.23.1:4000/udp/239.253.224.116:8000
CETV4,http://192.168.23.1:4000/udp/239.253.224.108:8000
山西卫视,http://192.168.23.1:4000/udp/239.253.224.48:8000
陕西卫视,http://192.168.23.1:4000/udp/239.253.224.49:8000
四川卫视,http://192.168.23.1:4000/udp/239.253.224.50:8000
贵州卫视,http://192.168.23.1:4000/udp/239.253.224.51:8000
甘肃卫视,http://192.168.23.1:4000/udp/239.253.224.52:8000
宁夏卫视,http://192.168.23.1:4000/udp/239.253.224.53:8000
青海卫视,http://192.168.23.1:4000/udp/239.253.224.54:8000
CETV1,http://192.168.23.1:4000/udp/239.253.224.55:8000
三沙卫视,http://192.168.23.1:4000/udp/239.253.224.171:8000
延边卫视,http://192.168.23.1:4000/udp/239.253.224.121:8000
内蒙古卫视,http://192.168.23.1:4000/udp/239.253.224.58:8000
西藏卫视,http://192.168.23.1:4000/udp/239.253.224.56:8000
新疆卫视,http://192.168.23.1:4000/udp/239.253.224.60:8000
兵团卫视,http://192.168.23.1:4000/udp/239.253.224.57:8000
农林卫视,http://192.168.23.1:4000/udp/239.253.224.70:8000
大湾区卫视,http://192.168.23.1:4000/udp/239.253.224.69:8000
北京少儿,http://192.168.23.1:4000/udp/239.253.224.66:8000
哈哈炫动,http://192.168.23.1:4000/udp/239.253.224.63:8000
优漫卡通,http://192.168.23.1:4000/udp/239.253.224.64:8000
嘉佳卡通,http://192.168.23.1:4000/udp/239.253.224.65:8000

日照[日照联通],#genre#
日照新闻综合,http://192.168.23.1:4000/udp/239.253.224.254:8000
日照科教,http://192.168.23.1:4000/udp/239.253.224.253:8000
日照公共,http://192.168.23.1:4000/udp/239.253.224.250:8000
岚山电视台,http://192.168.23.1:4000/udp/239.253.224.252:8000
莒县电视台,http://192.168.23.1:4000/udp/239.253.224.251:8000
海洋频道,http://192.168.23.1:4000/udp/239.253.224.67:8000
山东体育,http://192.168.23.1:4000/udp/239.253.224.22:8000
山东齐鲁,http://192.168.23.1:4000/udp/239.253.224.114:8000
山东生活,http://192.168.23.1:4000/udp/239.253.224.151:8000
山东综艺,http://192.168.23.1:4000/udp/239.253.224.159:8000
山东文旅,http://192.168.23.1:4000/udp/239.253.224.160:8000
山东新闻,http://192.168.23.1:4000/udp/239.253.224.23:8000
山东农科,http://192.168.23.1:4000/udp/239.253.224.24:8000
山东少儿,http://192.168.23.1:4000/udp/239.253.224.25:8000
山东教育,http://192.168.23.1:4000/udp/239.253.224.59:8000
直播中国,http://gctxyc.liveplay.myqcloud.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
青岛五四广场,http://video11.qtv.com.cn/aqdwsgc2022/manifest.m3u8
青岛奥帆中心,http://video10.qtv.com.cn/aqdafzx2022/manifest.m3u8
青岛太平角,http://video10.qtv.com.cn/aqdtp2022/manifest.m3u8
青岛太平湾,http://video10.qtv.com.cn/sxt203/manifest.m3u8
青岛胶州湾,http://video10.qtv.com.cn/sxt200/manifest.m3u8
青岛浮山湾,http://video10.qtv.com.cn/sxt202/manifest.m3u8
青岛快速路1,http://video10.qtv.com.cn/sxt1/manifest.m3u8
青岛快速路2,http://video10.qtv.com.cn/sxt3/manifest.m3u8
青岛快速路3,http://video10.qtv.com.cn/sxt2/manifest.m3u8
青岛QTV-1,http://221.0.78.198:2381/hls/20220/index.m3u8
青岛QTV-2,http://221.0.78.198:2381/hls/20221/index.m3u8
青岛QTV-3,http://221.0.78.198:2381/hls/20222/index.m3u8


IPTV[日照联通],#genre#
都市剧场,http://192.168.23.1:4000/udp/239.253.224.98:8000
都市剧场,http://192.168.23.1:4000/udp/239.253.224.178:8000
精彩影视,http://192.168.23.1:4000/udp/239.253.224.142:8000
乐游,http://192.168.23.1:4000/udp/239.253.224.97:8000
纪实人文,http://192.168.23.1:4000/udp/239.253.224.120:8000
生活时尚,http://192.168.23.1:4000/udp/239.253.224.99:8000
法治天地,http://192.168.23.1:4000/udp/239.253.224.96:8000
金色学堂,http://192.168.23.1:4000/udp/239.253.224.101:8000
东方财经,http://192.168.23.1:4000/udp/239.253.224.94:8000
游戏风云,http://192.168.23.1:4000/udp/239.253.224.95:8000
动漫秀场,http://192.168.23.1:4000/udp/239.253.224.115:8000
魅力足球,http://192.168.23.1:4000/udp/239.253.224.100:8000
四海钓鱼,http://192.168.23.1:4000/udp/239.253.224.118:8000
先锋乒羽,http://192.168.23.1:4000/udp/239.253.224.155:8000
茶频道,http://192.168.23.1:4000/udp/239.253.224.143:8000
快乐垂钓,http://192.168.23.1:4000/udp/239.253.224.144:8000
先锋乒羽,http://192.168.23.1:4000/udp/239.253.224.145:8000
书画频道,http://192.168.23.1:4000/udp/239.253.224.146:8000
财富天下,http://192.168.23.1:4000/udp/239.253.224.147:8000
家庭理财,http://192.168.23.1:4000/udp/239.253.224.148:8000
新动漫,http://192.168.23.1:4000/udp/239.253.224.149:8000
新动漫,http://192.168.23.1:4000/udp/239.253.224.157:8000
发现之旅,http://192.168.23.1:4000/udp/239.253.224.162:8000
中学生,http://192.168.23.1:4000/udp/239.253.224.163:8000
老故事,http://192.168.23.1:4000/udp/239.253.224.164:8000
环球旅游,http://192.168.23.1:4000/udp/239.253.224.71:8000
优优宝贝,http://192.168.23.1:4000/udp/239.253.224.72:8000
车迷频道,http://192.168.23.1:4000/udp/239.253.224.73:8000
生态环境,http://192.168.23.1:4000/udp/239.253.224.75:8000
中华特产,http://192.168.23.1:4000/udp/239.253.224.76:8000
IPTV5,http://192.168.23.1:4000/udp/239.253.224.109:8000
IPTV3,http://192.168.23.1:4000/udp/239.253.224.124:8000
IPTV电视剧,http://192.168.23.1:4000/udp/239.253.224.125:8000
IPTV电影,http://192.168.23.1:4000/udp/239.253.224.126:8000
IPTV电影2,http://192.168.23.1:4000/udp/239.253.224.127:8000
IPTV电影3,http://192.168.23.1:4000/udp/239.253.224.128:8000
IPTV综艺,http://192.168.23.1:4000/udp/239.253.224.129:8000
IPTV电影4,http://192.168.23.1:4000/udp/239.253.224.130:8000
IPTV体育,http://192.168.23.1:4000/udp/239.253.224.131:8000
IPTV电视剧2,http://192.168.23.1:4000/udp/239.253.224.132:8000
IPTV电视剧3,http://192.168.23.1:4000/udp/239.253.224.135:8000
IPTV综艺2,http://192.168.23.1:4000/udp/239.253.224.136:8000
IPTV科教,http://192.168.23.1:4000/udp/239.253.224.137:8000
IPTV法制,http://192.168.23.1:4000/udp/239.253.224.138:8000
财富天下,http://192.168.23.1:4000/udp/239.253.224.230:8000
IPTV 201,http://192.168.23.1:4000/udp/239.253.224.201:8000
IPTV 202,http://192.168.23.1:4000/udp/239.253.224.202:8000
IPTV 203,http://192.168.23.1:4000/udp/239.253.224.203:8000
IPTV 204,http://192.168.23.1:4000/udp/239.253.224.204:8000
IPTV 205,http://192.168.23.1:4000/udp/239.253.224.205:8000
IPTV 207,http://192.168.23.1:4000/udp/239.253.224.207:8000
IPTV 208,http://192.168.23.1:4000/udp/239.253.224.208:8000
IPTV 209,http://192.168.23.1:4000/udp/239.253.224.209:8000
IPTV 210,http://192.168.23.1:4000/udp/239.253.224.210:8000
IPTV 211,http://192.168.23.1:4000/udp/239.253.224.211:8000
IPTV 212,http://192.168.23.1:4000/udp/239.253.224.212:8000
IPTV 213,http://192.168.23.1:4000/udp/239.253.224.213:8000
IPTV 214,http://192.168.23.1:4000/udp/239.253.224.214:8000
IPTV 215,http://192.168.23.1:4000/udp/239.253.224.215:8000
IPTV 216,http://192.168.23.1:4000/udp/239.253.224.216:8000
IPTV 217,http://192.168.23.1:4000/udp/239.253.224.217:8000
IPTV 218,http://192.168.23.1:4000/udp/239.253.224.218:8000
IPTV 219,http://192.168.23.1:4000/udp/239.253.224.219:8000
IPTV 220,http://192.168.23.1:4000/udp/239.253.224.220:8000
IPTV 221,http://192.168.23.1:4000/udp/239.253.224.221:8000
IPTV 222,http://192.168.23.1:4000/udp/239.253.224.222:8000
IPTV 223,http://192.168.23.1:4000/udp/239.253.224.223:8000
IPTV 224,http://192.168.23.1:4000/udp/239.253.224.224:8000
IPTV 225,http://192.168.23.1:4000/udp/239.253.224.225:8000
IPTV 226,http://192.168.23.1:4000/udp/239.253.224.226:8000
IPTV 227,http://192.168.23.1:4000/udp/239.253.224.227:8000
IPTV 228,http://192.168.23.1:4000/udp/239.253.224.228:8000
IPTV 229,http://192.168.23.1:4000/udp/239.253.224.229:8000
CGTN 西语,http://192.168.23.1:4000/udp/239.253.224.182:8000
CGTN 法语,http://192.168.23.1:4000/udp/239.253.224.183:8000
CGTN 中东,http://192.168.23.1:4000/udp/239.253.224.184:8000
CGTN 俄语,http://192.168.23.1:4000/udp/239.253.224.185:8000
CGTN 纪录,http://192.168.23.1:4000/udp/239.253.224.188:8000
CGTN,http://192.168.23.1:4000/udp/239.253.224.189:8000
